2025-06-25 09:35:23,834 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 09:35:23,869 - 97 - werkzeug - INFO -  * Debugger PIN: 652-873-769
2025-06-25 09:35:23,883 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 09:35:23,890 - 97 - werkzeug - INFO -  * Debugger PIN: 652-873-769
2025-06-25 09:35:27,579 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,579 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,580 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,580 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,581 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,582 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,582 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,583 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\src\\Components\\data_ingestion.py', reloading
2025-06-25 09:35:27,583 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\src\\Components\\data_ingestion.py', reloading
