2025-06-25 10:39:03,515 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 10:39:03,516 - 97 - werkzeug - WARNING -  * Debugger is active!
2025-06-25 10:39:03,772 - 97 - werkzeug - INFO -  * Debugger PIN: 652-873-769
2025-06-25 10:41:40,933 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,933 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,933 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,934 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,935 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,935 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,935 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,936 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,936 - 97 - werkzeug - INFO -  * Detected change in 'c:\\users\\practice da\\2-ml\\3- module 48 practice\\application.py', reloading
2025-06-25 10:41:40,936 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,937 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,938 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
2025-06-25 10:41:40,939 - 97 - werkzeug - INFO -  * Detected change in 'C:\\Users\\Practice DA\\2-ML\\3- Module 48 Practice\\application.py', reloading
